日期,借书量
2014-01-01,86.0
2014-01-02,147.0
2014-01-03,256.0
2014-01-04,186.0
2014-01-05,125.0
2014-01-06,213.0
2014-01-07,207.0
2014-01-08,324.0
2014-01-09,237.0
2014-01-10,397.0
2014-01-11,110.0
2014-01-12,15.0
2014-01-13,5.0
2014-01-14,31.0
2014-01-15,51.0
2014-01-16,30.0
2014-01-17,40.0
2014-01-18,0.0
2014-01-19,0.0
2014-01-20,0.0
2014-01-21,0.0
2014-01-22,0.0
2014-01-23,0.0
2014-01-24,0.0
2014-01-25,0.0
2014-01-26,0.0
2014-01-27,0.0
2014-01-28,0.0
2014-01-29,0.0
2014-01-30,0.0
2014-01-31,0.0
2014-02-01,0.0
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,0.0
2014-02-05,0.0
2014-02-06,0.0
2014-02-07,0.0
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,0.0
2014-02-14,0.0
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,2.0
2014-02-18,0.0
2014-02-19,27.0
2014-02-20,22.0
2014-02-21,32.0
2014-02-22,45.0
2014-02-23,157.0
2014-02-24,288.0
2014-02-25,206.0
2014-02-26,171.0
2014-02-27,185.0
2014-02-28,199.0
2014-03-01,157.0
2014-03-02,190.0
2014-03-03,162.0
2014-03-04,152.0
2014-03-05,144.0
2014-03-06,154.0
2014-03-07,111.0
2014-03-08,125.0
2014-03-09,95.0
2014-03-10,12.0
2014-03-11,150.0
2014-03-12,113.0
2014-03-13,156.0
2014-03-14,104.0
2014-03-15,96.0
2014-03-16,93.0
2014-03-17,132.0
2014-03-18,82.0
2014-03-19,149.0
2014-03-20,138.0
2014-03-21,88.0
2014-03-22,101.0
2014-03-23,163.0
2014-03-24,121.0
2014-03-25,72.0
2014-03-26,106.0
2014-03-27,95.0
2014-03-28,49.0
2014-03-29,110.0
2014-03-30,96.0
2014-03-31,102.0
2014-04-01,52.0
2014-04-02,61.0
2014-04-03,53.0
2014-04-04,33.0
2014-04-05,63.0
2014-04-06,67.0
2014-04-07,65.0
2014-04-08,49.0
2014-04-09,67.0
2014-04-10,95.0
2014-04-11,82.0
2014-04-12,70.0
2014-04-13,79.0
2014-04-14,61.0
2014-04-15,80.0
2014-04-16,54.0
2014-04-17,97.0
2014-04-18,89.0
2014-04-19,107.0
2014-04-20,130.0
2014-04-21,174.0
2014-04-22,107.0
2014-04-23,101.0
2014-04-24,89.0
2014-04-25,88.0
2014-04-26,112.0
2014-04-27,120.0
2014-04-28,140.0
2014-04-29,71.0
2014-04-30,81.0
2014-05-01,34.0
2014-05-02,47.0
2014-05-03,85.0
2014-05-04,115.0
2014-05-05,111.0
2014-05-06,84.0
2014-05-07,81.0
2014-05-08,83.0
2014-05-09,69.0
2014-05-10,64.0
2014-05-11,81.0
2014-05-12,81.0
2014-05-13,125.0
2014-05-14,116.0
2014-05-15,94.0
2014-05-16,68.0
2014-05-17,101.0
2014-05-18,59.0
2014-05-19,69.0
2014-05-20,64.0
2014-05-21,76.0
2014-05-22,71.0
2014-05-23,56.0
2014-05-24,17.0
2014-05-25,38.0
2014-05-26,110.0
2014-05-27,64.0
2014-05-28,66.0
2014-05-29,62.0
2014-05-30,44.0
2014-05-31,30.0
2014-06-01,32.0
2014-06-02,23.0
2014-06-03,53.0
2014-06-04,62.0
2014-06-05,44.0
2014-06-06,28.0
2014-06-07,82.0
2014-06-08,38.0
2014-06-09,31.0
2014-06-10,37.0
2014-06-11,48.0
2014-06-12,57.0
2014-06-13,50.0
2014-06-14,41.0
2014-06-15,49.0
2014-06-16,57.0
2014-06-17,51.0
2014-06-18,41.0
2014-06-19,41.0
2014-06-20,42.0
