日期,借书量
2015-01-01,77.0
2015-01-02,102.0
2015-01-03,121.0
2015-01-04,226.0
2015-01-05,130.0
2015-01-06,140.0
2015-01-07,153.0
2015-01-08,321.0
2015-01-09,318.0
2015-01-10,406.0
2015-01-11,460.0
2015-01-12,584.0
2015-01-13,564.0
2015-01-14,459.0
2015-01-15,314.0
2015-01-16,178.0
2015-01-17,102.0
2015-01-18,105.0
2015-01-19,67.0
2015-01-20,85.0
2015-01-21,50.0
2015-01-22,32.0
2015-01-23,44.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,29.0
2015-03-03,7.0
2015-03-04,5.0
2015-03-05,7.0
2015-03-06,38.0
2015-03-07,116.0
2015-03-08,205.0
2015-03-09,732.0
2015-03-10,613.0
2015-03-11,438.0
2015-03-12,286.0
2015-03-13,367.0
2015-03-14,315.0
2015-03-15,302.0
2015-03-16,281.0
2015-03-17,209.0
2015-03-18,211.0
2015-03-19,307.0
2015-03-20,184.0
2015-03-21,190.0
2015-03-22,169.0
2015-03-23,268.0
2015-03-24,225.0
2015-03-25,271.0
2015-03-26,220.0
2015-03-27,185.0
2015-03-28,278.0
2015-03-29,233.0
2015-03-30,158.0
2015-03-31,169.0
2015-04-01,229.0
2015-04-02,197.0
2015-04-03,186.0
2015-04-04,101.0
2015-04-05,101.0
2015-04-06,179.0
2015-04-07,166.0
2015-04-08,184.0
2015-04-09,191.0
2015-04-10,184.0
2015-04-11,175.0
2015-04-12,143.0
2015-04-13,159.0
2015-04-14,157.0
2015-04-15,148.0
2015-04-16,164.0
2015-04-17,174.0
2015-04-18,152.0
2015-04-19,165.0
2015-04-20,148.0
2015-04-21,167.0
2015-04-22,176.0
2015-04-23,140.0
2015-04-24,148.0
2015-04-25,152.0
2015-04-26,175.0
2015-04-27,204.0
2015-04-28,133.0
2015-04-29,148.0
2015-04-30,151.0
2015-05-01,81.0
2015-05-02,116.0
2015-05-03,168.0
2015-05-04,224.0
2015-05-05,240.0
2015-05-06,220.0
2015-05-07,181.0
2015-05-08,210.0
2015-05-09,241.0
2015-05-10,203.0
2015-05-11,180.0
2015-05-12,190.0
2015-05-13,273.0
2015-05-14,277.0
2015-05-15,223.0
2015-05-16,145.0
2015-05-17,172.0
2015-05-18,155.0
2015-05-19,154.0
2015-05-20,223.0
2015-05-21,98.0
2015-05-22,72.0
2015-05-23,143.0
2015-05-24,199.0
2015-05-25,224.0
2015-05-26,169.0
2015-05-27,187.0
2015-05-28,177.0
2015-05-29,139.0
2015-05-30,141.0
2015-05-31,124.0
2015-06-01,164.0
2015-06-02,100.0
2015-06-03,194.0
2015-06-04,178.0
2015-06-05,120.0
2015-06-06,112.0
2015-06-07,115.0
2015-06-08,147.0
2015-06-09,148.0
2015-06-10,118.0
2015-06-11,128.0
2015-06-12,80.0
2015-06-13,89.0
2015-06-14,120.0
2015-06-15,131.0
2015-06-16,85.0
2015-06-17,98.0
2015-06-18,78.0
2015-06-19,98.0
2015-06-20,47.0
2015-06-21,55.0
2015-06-22,73.0
2015-06-23,84.0
2015-06-24,80.0
2015-06-25,82.0
2015-06-26,125.0
2015-06-27,73.0
2015-06-28,77.0
2015-06-29,110.0
2015-06-30,126.0
2015-07-01,177.0
2015-07-02,187.0
2015-07-03,320.0
2015-07-04,286.0
2015-07-05,412.0
2015-07-06,522.0
2015-07-07,381.0
2015-07-08,346.0
2015-07-09,212.0
2015-07-10,224.0
2015-07-11,268.0
2015-07-12,224.0
2015-07-13,293.0
2015-07-14,252.0
2015-07-15,287.0
2015-07-16,234.0
2015-07-17,195.0
2015-07-18,179.0
2015-07-19,221.0
2015-07-20,204.0
2015-07-21,125.0
2015-07-22,159.0
2015-07-23,181.0
2015-07-24,144.0
2015-07-25,254.0
2015-07-26,215.0
2015-07-27,172.0
2015-07-28,148.0
2015-07-29,223.0
2015-07-30,108.0
2015-07-31,143.0
2015-08-01,78.0
2015-08-02,112.0
2015-08-03,1.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,2.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,6.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,79.0
2015-09-01,87.0
2015-09-02,79.0
2015-09-03,114.0
2015-09-04,136.0
2015-09-05,275.0
2015-09-06,473.0
2015-09-07,821.0
2015-09-08,584.0
2015-09-09,763.0
2015-09-10,504.0
2015-09-11,495.0
2015-09-12,449.0
2015-09-13,506.0
2015-09-14,457.0
2015-09-15,481.0
2015-09-16,491.0
2015-09-17,363.0
2015-09-18,344.0
2015-09-19,421.0
2015-09-20,461.0
2015-09-21,510.0
2015-09-22,336.0
2015-09-23,447.0
2015-09-24,326.0
2015-09-25,310.0
2015-09-26,257.0
2015-09-27,228.0
2015-09-28,336.0
2015-09-29,295.0
2015-09-30,298.0
2015-10-01,155.0
2015-10-02,102.0
2015-10-03,142.0
2015-10-04,141.0
2015-10-05,163.0
2015-10-06,215.0
2015-10-07,187.0
2015-10-08,298.0
2015-10-09,337.0
2015-10-10,285.0
2015-10-11,283.0
2015-10-12,307.0
2015-10-13,233.0
2015-10-14,320.0
2015-10-15,255.0
2015-10-16,342.0
2015-10-17,317.0
2015-10-18,286.0
2015-10-19,360.0
2015-10-20,242.0
2015-10-21,258.0
2015-10-22,312.0
2015-10-23,265.0
2015-10-24,190.0
2015-10-25,188.0
2015-10-26,164.0
2015-10-27,296.0
2015-10-28,295.0
2015-10-29,226.0
2015-10-30,285.0
2015-10-31,274.0
2015-11-01,359.0
2015-11-02,734.0
2015-11-03,445.0
2015-11-04,435.0
2015-11-05,416.0
2015-11-06,261.0
2015-11-07,299.0
2015-11-08,233.0
2015-11-09,348.0
2015-11-10,296.0
2015-11-11,314.0
2015-11-12,294.0
2015-11-13,323.0
2015-11-14,246.0
2015-11-15,236.0
2015-11-16,633.0
2015-11-17,542.0
2015-11-18,521.0
2015-11-19,503.0
2015-11-20,363.0
2015-11-21,318.0
2015-11-22,347.0
2015-11-23,324.0
2015-11-24,227.0
2015-11-25,269.0
2015-11-26,193.0
2015-11-27,209.0
2015-11-28,255.0
2015-11-29,253.0
2015-11-30,309.0
2015-12-01,219.0
2015-12-02,185.0
2015-12-03,211.0
2015-12-04,190.0
2015-12-05,191.0
2015-12-06,213.0
2015-12-07,206.0
2015-12-08,247.0
2015-12-09,242.0
2015-12-10,230.0
2015-12-11,202.0
2015-12-12,182.0
2015-12-13,172.0
2015-12-14,167.0
2015-12-15,181.0
2015-12-16,169.0
2015-12-17,151.0
2015-12-18,196.0
2015-12-19,107.0
2015-12-20,209.0
2015-12-21,178.0
2015-12-22,184.0
2015-12-23,225.0
2015-12-24,201.0
2015-12-25,231.0
2015-12-26,185.0
2015-12-27,210.0
2015-12-28,414.0
2015-12-29,401.0
2015-12-30,566.0
2015-12-31,566.0
