日期,借书量
2017-10-17,429.0
2017-10-18,352.0
2017-10-19,259.0
2017-10-20,298.0
2017-10-21,313.0
2017-10-22,361.0
2017-10-23,316.0
2017-10-24,289.0
2017-10-25,374.0
2017-10-26,282.0
2017-10-27,302.0
2017-10-28,233.0
2017-10-29,315.0
2017-10-30,425.0
2017-10-31,284.0
2017-11-01,463.0
2017-11-02,265.0
2017-11-03,356.0
2017-11-04,333.0
2017-11-05,431.0
2017-11-06,377.0
2017-11-07,299.0
2017-11-08,420.0
2017-11-09,374.0
2017-11-10,386.0
2017-11-11,206.0
2017-11-12,351.0
2017-11-13,399.0
2017-11-14,347.0
2017-11-15,271.0
2017-11-16,334.0
2017-11-17,362.0
2017-11-18,274.0
2017-11-19,264.0
2017-11-20,279.0
2017-11-21,449.0
2017-11-22,395.0
2017-11-23,314.0
2017-11-24,295.0
2017-11-25,252.0
2017-11-26,264.0
2017-11-27,278.0
2017-11-28,325.0
2017-11-29,326.0
2017-11-30,207.0
2017-12-01,276.0
2017-12-02,215.0
2017-12-03,196.0
2017-12-04,220.0
2017-12-05,279.0
2017-12-06,254.0
2017-12-07,184.0
2017-12-08,193.0
2017-12-09,168.0
2017-12-10,167.0
2017-12-11,193.0
2017-12-12,269.0
2017-12-13,223.0
2017-12-14,225.0
2017-12-15,176.0
2017-12-16,205.0
2017-12-17,235.0
2017-12-18,213.0
2017-12-19,351.0
2017-12-20,282.0
2017-12-21,275.0
2017-12-22,207.0
2017-12-23,216.0
2017-12-24,237.0
2017-12-25,322.0
2017-12-26,374.0
2017-12-27,259.0
2017-12-28,324.0
2017-12-29,457.0
2017-12-30,274.0
2017-12-31,235.0
