日期,借书量
2016-01-01,363.0
2016-01-02,319.0
2016-01-03,319.0
2016-01-04,679.0
2016-01-05,662.0
2016-01-06,649.0
2016-01-07,570.0
2016-01-08,676.0
2016-01-09,225.0
2016-01-10,162.0
2016-01-11,101.0
2016-01-12,90.0
2016-01-13,115.0
2016-01-14,100.0
2016-01-15,66.0
2016-01-16,64.0
2016-01-17,86.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,0.0
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,41.0
2016-02-18,45.0
2016-02-19,26.0
2016-02-20,60.0
2016-02-21,598.0
2016-02-22,1032.0
2016-02-23,963.0
2016-02-24,700.0
2016-02-25,546.0
2016-02-26,588.0
2016-02-27,638.0
2016-02-28,583.0
2016-02-29,468.0
2016-03-01,564.0
2016-03-02,632.0
2016-03-03,507.0
2016-03-04,484.0
2016-03-05,378.0
2016-03-06,423.0
2016-03-07,427.0
2016-03-08,386.0
2016-03-09,392.0
2016-03-10,426.0
2016-03-11,361.0
2016-03-12,354.0
2016-03-13,362.0
2016-03-14,355.0
2016-03-15,353.0
2016-03-16,397.0
2016-03-17,289.0
2016-03-18,290.0
2016-03-19,291.0
2016-03-20,339.0
2016-03-21,370.0
2016-03-22,333.0
2016-03-23,393.0
2016-03-24,347.0
2016-03-25,297.0
2016-03-26,349.0
2016-03-27,265.0
2016-03-28,338.0
2016-03-29,347.0
2016-03-30,347.0
2016-03-31,274.0
2016-04-01,194.0
2016-04-02,224.0
2016-04-03,220.0
2016-04-04,238.0
2016-04-05,260.0
2016-04-06,285.0
2016-04-07,245.0
2016-04-08,298.0
2016-04-09,208.0
2016-04-10,296.0
2016-04-11,328.0
2016-04-12,287.0
2016-04-13,305.0
2016-04-14,289.0
2016-04-15,303.0
2016-04-16,324.0
2016-04-17,290.0
2016-04-18,423.0
2016-04-19,527.0
2016-04-20,561.0
2016-04-21,405.0
2016-04-22,942.0
2016-04-23,626.0
2016-04-24,616.0
2016-04-25,603.0
2016-04-26,655.0
2016-04-27,593.0
2016-04-28,592.0
2016-04-29,330.0
2016-04-30,124.0
2016-05-01,202.0
2016-05-02,216.0
2016-05-03,337.0
2016-05-04,421.0
2016-05-05,366.0
2016-05-06,244.0
2016-05-07,355.0
2016-05-08,361.0
2016-05-09,283.0
2016-05-10,269.0
2016-05-11,310.0
2016-05-12,357.0
2016-05-13,292.0
2016-05-14,219.0
2016-05-15,292.0
2016-05-16,313.0
2016-05-17,365.0
2016-05-18,312.0
2016-05-19,261.0
2016-05-20,231.0
2016-05-21,185.0
2016-05-22,240.0
2016-05-23,241.0
2016-05-24,271.0
2016-05-25,362.0
2016-05-26,172.0
2016-05-27,174.0
2016-05-28,205.0
2016-05-29,200.0
2016-05-30,195.0
2016-05-31,217.0
2016-06-01,217.0
2016-06-02,165.0
2016-06-03,195.0
2016-06-04,187.0
2016-06-05,143.0
2016-06-06,157.0
2016-06-07,249.0
2016-06-08,191.0
2016-06-09,102.0
2016-06-10,138.0
2016-06-11,164.0
2016-06-12,180.0
2016-06-13,264.0
2016-06-14,239.0
2016-06-15,212.0
2016-06-16,316.0
2016-06-17,300.0
2016-06-18,8.0
2016-06-19,0.0
2016-06-20,425.0
2016-06-21,339.0
2016-06-22,491.0
2016-06-23,353.0
2016-06-24,386.0
2016-06-25,543.0
2016-06-26,351.0
2016-06-27,462.0
2016-06-28,426.0
2016-06-29,399.0
2016-06-30,398.0
2016-07-01,389.0
2016-07-02,345.0
2016-07-03,348.0
2016-07-04,285.0
2016-07-05,265.0
2016-07-06,320.0
2016-07-07,341.0
2016-07-08,248.0
2016-07-09,94.0
2016-07-10,285.0
2016-07-11,345.0
2016-07-12,306.0
2016-07-13,366.0
2016-07-14,313.0
2016-07-15,330.0
2016-07-16,352.0
2016-07-17,313.0
2016-07-18,301.0
2016-07-19,228.0
2016-07-20,195.0
2016-07-21,220.0
2016-07-22,260.0
2016-07-23,145.0
2016-07-24,164.0
2016-07-25,29.0
2016-07-26,132.0
2016-07-27,121.0
2016-07-28,125.0
2016-07-29,89.0
2016-07-30,76.0
2016-07-31,63.0
2016-08-01,97.0
2016-08-02,57.0
2016-08-03,63.0
2016-08-04,51.0
2016-08-05,71.0
2016-08-06,80.0
2016-08-07,49.0
2016-08-08,33.0
2016-08-09,122.0
2016-08-10,99.0
2016-08-11,115.0
2016-08-12,91.0
2016-08-13,88.0
2016-08-14,73.0
2016-08-15,68.0
2016-08-16,112.0
2016-08-17,50.0
2016-08-18,86.0
2016-08-19,76.0
2016-08-20,83.0
2016-08-21,94.0
2016-08-22,73.0
2016-08-23,100.0
2016-08-24,87.0
2016-08-25,105.0
2016-08-26,72.0
